  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:01 /sbin/init
    2 ?        S      0:00 [kthreadd]
    3 ?        S      0:02 [ksoftirqd/0]
    5 ?        S<     0:00 [kworker/0:0H]
    7 ?        S      0:13 [rcu_preempt]
    8 ?        S      0:00 [rcu_sched]
    9 ?        S      0:00 [rcu_bh]
   10 ?        S      0:00 [migration/0]
   11 ?        S      0:00 [watchdog/0]
   12 ?        S      0:00 [watchdog/1]
   13 ?        S      0:00 [migration/1]
   14 ?        S      0:00 [ksoftirqd/1]
   16 ?        S<     0:00 [kworker/1:0H]
   17 ?        S      0:00 [watchdog/2]
   18 ?        S      0:00 [migration/2]
   19 ?        S      0:01 [ksoftirqd/2]
   21 ?        S<     0:00 [kworker/2:0H]
   22 ?        S      0:00 [watchdog/3]
   23 ?        S      0:00 [migration/3]
   24 ?        S      0:00 [ksoftirqd/3]
   26 ?        S<     0:00 [kworker/3:0H]
   27 ?        S      0:00 [watchdog/4]
   28 ?        S      0:00 [migration/4]
   29 ?        S      0:01 [ksoftirqd/4]
   31 ?        S<     0:00 [kworker/4:0H]
   32 ?        S      0:00 [watchdog/5]
   33 ?        S      0:00 [migration/5]
   34 ?        S      0:00 [ksoftirqd/5]
   36 ?        S<     0:00 [kworker/5:0H]
   37 ?        S      0:00 [watchdog/6]
   38 ?        S      0:00 [migration/6]
   39 ?        S      0:00 [ksoftirqd/6]
   41 ?        S<     0:00 [kworker/6:0H]
   42 ?        S      0:00 [watchdog/7]
   43 ?        S      0:00 [migration/7]
   44 ?        S      0:00 [ksoftirqd/7]
   46 ?        S<     0:00 [kworker/7:0H]
   47 ?        S<     0:00 [khelper]
   48 ?        S      0:00 [kdevtmpfs]
   49 ?        S<     0:00 [netns]
   50 ?        S<     0:00 [writeback]
   51 ?        SN     0:00 [ksmd]
   52 ?        SN     0:00 [khugepaged]
   53 ?        S<     0:00 [kintegrityd]
   54 ?        S<     0:00 [bioset]
   55 ?        S<     0:00 [kblockd]
   58 ?        S      0:00 [khungtaskd]
   59 ?        S      0:00 [kswapd0]
   60 ?        S      0:00 [fsnotify_mark]
   61 ?        S<     0:00 [crypto]
   65 ?        S<     0:00 [kthrotld]
   66 ?        S<     0:00 [ipv6_addrconf]
   67 ?        S<     0:00 [deferwq]
   71 ?        S      0:00 [kworker/5:1]
   94 ?        S      0:00 [khubd]
   95 ?        S<     0:00 [firewire]
   99 ?        S<     0:00 [firewire_ohci]
  100 ?        S<     0:00 [ata_sff]
  103 ?        S      0:00 [scsi_eh_0]
  104 ?        S<     0:00 [scsi_tmf_0]
  105 ?        S      0:00 [scsi_eh_1]
  106 ?        S<     0:00 [scsi_tmf_1]
  107 ?        S      0:00 [scsi_eh_2]
  108 ?        S<     0:00 [scsi_tmf_2]
  109 ?        S      0:00 [scsi_eh_3]
  110 ?        S<     0:00 [scsi_tmf_3]
  111 ?        S      0:00 [scsi_eh_4]
  112 ?        S<     0:00 [scsi_tmf_4]
  113 ?        S      0:00 [scsi_eh_5]
  114 ?        S<     0:00 [scsi_tmf_5]
  121 ?        S      0:00 [kworker/3:1]
